1992, A7,  Mod. Phys. Lett., Kuniba & Nakanishi,  Spectra in Conformal Field Theories from the Rogers Dilogarithm
1992, D46,  Phys.Rev., Dowker & Chang,  Polyhedral Cosmic Strings
1992, B293,  Phys.Lett., Dunne & Rius,  A Comment on the Relationship Between Differential and Dimensional  Renormalization
1993, B390,  Nucl. Phys., LeClair & Nemeschansky & Warner,  S-matrices for Perturbed N=2 Superconformal Field Theory from quantum  groups
1993, B390,  Nucl. Phys., Imamura & Sakamoto & Sasada & Tabuse,  Symmetries between Untwisted and Twisted Strings on Asymmetric Orbifolds
1993, A8,  Mod. Phys. Lett., Elizalde & Odintsov,  One-loop divergences in two-dimensional Maxwell-dilaton quantum gravity
1993, D47,  Phys.Rev., Mann,  Conservation Laws and 2D Black Holes in Dilaton Gravity
1992, A7,  Mod. Phys. Lett., Schnitzer,  Concerning the Double Scaling Limit in the $O(N)$ Vector Model in  Four-Dimensions
1993, B302,  Phys.Lett., Minahan & Polychronakos,  Integrable Systems for Particles with Internal Degrees of Freedom
1991, A6,  Int.J.Mod.Phys., Mezincescu & Nepomechie,  Addendum to ``Integrability of Open Spin Chains with Quantum Algebra  Symmetry''
1992, B286,  Phys.Lett., Brink & Hansson & Vasiliev,  Explicit Solution to the N-Body Calogero Problem
1992, B295,  Phys. Lett., Munoz-Tapia,  A New Approach to Lower Dimensional Gauge Theories
1993, A8,  Int. J. Mod. Phys., Dorey & Ravanini,  Staircase Models from Affine Toda Field Theory
1992, B291,  Phys.Lett., Dorn & Otto,  On Correlation Functions for Non-critical Strings with c<1 but d>1
1992, B291,  Phys. Lett., Abdalla & Abdalla & Dalmazi,  On the amplitudes for non-critical n=2 supuerstrings
1993, D47,  Phys.Rev., Banks & O'Loughlin,  Classical and Quantum Production of Cornucopions At Energies Below  $10^{18}$ GeV
1993, B410,  Nucl. Phys., Srednicki,  Is Purity Eternal?
1992, B375,  Nucl. Phys., Sabra,  Hidden Kac-Moody symmetry and 2D Quantum Supergravity
1992, A7,  Mod.Phys.Lett., Dalley & Johnson & Morris & Watterstam,  Unitary Matrix Models and 2D Quantum Gravity (Virasoro constraints  modified)
1993, D48,  Phys.Rev., Natsuume,  Nonlinear Sigma Model for String Solitons
1992, B289,  Phys.Lett., Aharony & Sonnenschein & Yankielowicz,  G/G Models and W_N strings
1993, D47,  Phys.Rev., Lafrance & Myers,  What unitary matrix models are not?
1993, B402,  Nucl. Phys., Altherr & Grandou,  Thermal Field Theory and Infinite Statistics
1992, B292,  Phys. Lett., Johnson & Morris & White,  The Boundary Cosmological Constant in Stable 2D Quantum Gravity
1992, D46,  Phys.Rev., Russo & Susskind & Thorlacius,  The Endpoint of Hawking Evaporation
1993, B300,  Phys. Lett., Hamada,  Quantum Theory of Dilaton Gravity in 1+1 Dimensions
1992, D46,  Phys.Rev., Anglin & Myers,  Wormholes and Supersymmetry
1995, A10,  Int.J.Mod.Phys., Allen & Bordner,  Charged Vortex Dynamics in Ginzburg-Landau Theory of the Fractional  Quantum Hall Effect
1992, B385,  Nucl. Phys., Bajnok & Palla & Takacs,  A2 Toda theory in reduced WZNW framework and the representations of the  W algebra
1992, B289,  Phys.Lett., Das & Sezgin & Khviengia,  Self-Duality in 3+3 Dimensions and the KP Equation
1992, B289,  Phys.Lett., Ellis & Mavromatos & Nanopoulos,  World-Sheet Duality, Space-Time Foam, and the Quantum Fate of a Stringy  Black Hole
1992, B293,  Phys.Lett., Nappi & Witten,  A Closed, Expanding Universe in String Theory
1993, D47,  Phys.Rev., Kaloper,  Stringy Cosmic Strings and Axion Cohomology
1993, B395,  Nucl.Phys., Ghoshal & Jatkar & Mukhi,  Kleinian Singularities and the Ground Ring of C=1 String Theory
1993, B393,  Nucl. Phys., Kawai & Kitazawa & Ninomiya,  Scaling Exponents in Quantum Gravity near Two Dimensions
1993, B407,  Nucl.Phys., Dixon,  BRS Operators and Covariant Derivatives in Loop Space for P-Branes  Coupled to Yang-Mills
1992, A7,  Mod.Phys.Lett., Srednicki,  A New Construction of the Penner Model
1992, B294,  Phys. Lett., Nojiri & Oda,  Charged Dilatonic Black Hole and Hawking Radiation in Two Dimensions
1992, B296,  Phys.Lett., Korchemsky,  Loops in the Curvature Matrix Model
1993, B299,  Phys. Lett., Itoyama,  Integrable Superhierarchy of Discretized 2d Supergravity
1993, B402,  Nucl.Phys., Aratyn & Ferreira & Gomes & Zimerman,  On Two-Current Realization of KP Hierarchy
1992, B289,  Phys.Lett., Jonghe & Siebelink & Troost & Vandoren & Nieuwenhuizen & Proeyen,  The regularized BRST Jacobian of pure Yang-Mills theory
1992, B289,  Phys.Lett., Alfaro & Damgaard,  The D=1 Matrix Model and the Renormalization Group
1992, B294,  Phys. Lett., Mann,  Two Dimensional Quantum Gravity Coupled to Matter
1992, B292,  Phys. Lett., Bergshoeff & Sezgin,  Self-Dual Supergravity Theories in 2+2 Dimensions
1992, B294,  Phys. Lett., Periwal,  Non-analyticity in the large N renormalization group
1993, A8,  Int.J.Mod.Phys., Aulakh & Soni,  Topological Soliton Multiplets in 4+1 Dimensional YMCS Theory
1992, B289,  Phys.Lett., Dubois-Violette & Henneaux & Talon & Viallet,  General Solution of the Consistency Equation
1993, B396,  Nucl.Phys., Chaudhuri & Lykken,  String Theory, Black Holes, and SL(2,R) Current Algebra
1993, B393,  Nucl. Phys., Kawai & Uchino & Yang,  Higher-Rank Supersymmetric Models and Topological Field Theory
1992, A7,  Mod.Phys.Lett., Mahapatra & Mukherji & Sengupta,  Target Space Interpretation of New Moduli in 2D String Theory
1992, B294,  Phys.Lett., Tsutsui & Feher,  On the Lagrangian Realization of the WZNW Reductions
1993, A8,  Int.J.Mod.Phys., Klassen & Melzer,  Sine-Gordon =/= Massive Thirring, and Related Heresies
1992, B6,  Mod.Phys.Lett., Moroz,  Dimensional Reduction of a Generalized Flux Problem
1993, A8,  Mod. Phys. Lett., Migdal,  Exact Solution of Induced Lattice Gauge Theory at Large $N$
1992, B292,  Phys.Lett., Catterall & Kogut & Renken,  Numerical Study of c>1 Matter Coupled to Quantum Gravity
1992, B296,  Phys. Lett., Gaillard & Xiu,  Analysis of Running Coupling Constant Unification in String Theory
1992, D46,  Phys.Rev., Preskill,  Semilocal Defects
1993, B392,  Nucl.Phys., Hindmarsh,  Semilocal Topological Defects
1993, A8,  Int.J.Mod.Phys., Strobl,  All Symmetries of Non-Einsteinian Gravity in $d =2$
1993, D47,  Phys.Rev., Osorio & Vazquez-Mozo,  Duality in Non-Trivially Compactified Heterotic Strings
1993, B392,  Nucl.Phys., Fradkin & Moreno & Schaposnik,  Ground state wave functionals for $1+1$-dimensional fermion field  theories
1992, B291,  Phys. Lett., Mikovic,  Exactly Solvable Models of 2d Dilaton Quantum Gravity
1993, B398,  Nucl. Phys., Ito & Madsen & Petersen,  Free Field Representations of Extended Superconformal Algebras
1992, B292,  Phys. Lett., Ito & Madsen & Petersen,  Free Field Representations and Screening Operators for the $N=4$ Doubly  Extended Superconformal Algebras
1993, B313,  Phys. Lett., Sabra,  Classical Hamiltonian Reduction and Superconformal Algebras
1992, B292,  Phys. Lett., Figueroa-O'Farrill & Mas & Ramos,  On the two-boson picture of the KP hierarchy
1992, B296,  Phys. Lett., Yang,  A Note on ``Anomalous" Chiral Gauge Theories
1992, A25,  J.Phys., MacKay,  The full set of $c_n$-invariant factorized $S$-matrices
1993, B390,  Nucl.Phys., Maharana & Schwarz,  Noncompact Symmetries in String Theory
1993, B398,  Nucl.Phys., Gualzetti & Penati & Zanon,  Quantum Conserved Currents in Supersymmetric Toda Theories
1992, A7,  Mod.Phys.Lett., Ambjorn & Kristjansen & Makeenko,  Higher Genus Correlators for the Complex Matrix Model
1993, A8,  Int. J. Mod. Phys., Gunaydin,  On the Chiral Rings in N=2 and N=4 Superconformal Algebras
1992, B387,  Nucl. Phys., Marcus,  The N=2 open string
1992, A25,  J.Phys., Karowski & Schrader & FU-Berlin,  A quantum group version of quantum gauge theories in two dimensions
1992, B291,  Phys. Lett., Greensite,  Vanishing of the Cosmological Constant in Stabilized Quantum Gravity
1993, A8,  Int. J. Mod. Phys., Freeman & Hornfeck & West,  Commuting quantities and exceptional W-algebras
1992, B293,  Phys. Lett., Ganchev & Petkova,  Reduction of the Knizhnik-Zamolodchikov Equation - a Way of Producing  Virasoro Algebra Singular Vectors
1993, D47,  Phys.Rev., Giddings & Strominger,  Quantum Theories of Dilaton Gravity
1993, B389,  Nucl. Phys., Shamir,  Compensating Fields and Anomalies in Supergravity
1993, A8,  Int. J. Mod. Phys., Ravanini & Tateo & Valleriani,  Dynkin TBA's
1993, B393,  Nucl. Phys., Ketov & Nishino & Gates & Jr,  Self-Dual Supersymmetry and Supergravity in Atiyah-Ward Space-Time
1993, D47,  Phys.Rev., Siegel,  Self-Dual N=8 Supergravity as Closed N=2(4) Strings
1993, B399,  Nucl. Phys., Elizalde & Odintsov,  One-Loop Renormalization in Two-Dimensional Matter-Dilaton Quantum  Gravity and Charged Black Holes
1993, B302,  Phys. Lett., Polychronakos & Tzani,  Schrodinger Equation for Particle with Friction
1993, B397,  Nucl.Phys., Erler & Jungnickel & Spalinski & Stieberger,  Higher Twisted Sector Couplings of $Z_N$ Orbifolds
1993, D47,  Phys.Rev., Delduc & Galperin & Howe & Sokatchev,  A twistor formulation of the heterotic D=10 superstring with manifest  (8,0) worldsheet supersymmetry
1993, B405,  Nucl. Phys., Sathiapalan,  Loop Variables and the Virasoro Group
1993, B404,  Nucl.Phys., Sen,  Electric Magnetic Duality in String Theory
1992, D46,  Phys.Rev., Boulware,  Quantum Field Theory in Spaces with Closed Time-Like Curves
1992, B296,  Phys.Lett., Panda & Roy,  Remarks on the Additional Symmetries and W-Constraints in the  Generalized KdV Hierarchy
1992, B297,  Phys.Lett., Carlini & Treves & Fucito & Martellini,  The vacuum polarization around an axionic stringy black hole
1993, B298,  Phys. Lett., Constantinidis & Ferreira & Gomes & Zimerman,  Connection between the Affine and Conformal Affine Toda Models and their  Hirota's Solution
1992, A7,  Mod.Phys.Lett., Bienkowska & Lu,  A Note on N=2 Superstrings
1992, A7,  Mod.Phys.Lett., Sakai & Tanii,  Physical Degrees of Freedom in 2-D String Field Theories
1992, A7,  Mod.Phys.Lett., Kutasov,  Irreversibility of the Renormalization Group Flow in Two Dimensional  Quantum Gravity
1993, B298,  Phys.Lett., Dalley & Klebanov,  Light-Cone Quantization of the c=2 Matrix Model
1992, B295,  Phys.Lett., Papadopoulos & Spence,  The Global Phase Space Structure of the Wess-Zumino-Witten Model
1992, B292,  Phys.Lett., Bershadsky & Lerche & Nemeschansky & Warner,  A BRST Operator for non-critical W-Strings
1992, B293,  Phys.Lett., Govaerts,  A Quantum Anomaly For Rigid Particles
1992, B293,  Phys. Lett., Ravanini & Tateo & Valleriani,  A New Family of Diagonal Ade-Related Scattering Theories
1992, D46,  Phys.Rev., Kastor & Traschen,  Horizons Inside Classical Lumps
1994, A9,  Int. J. Mod. Phys., Halpern & Obers,  Ward Identities for Affine-Virasoro Correlators
1992, A7,  Int.J.Mod.Phys., Blumenhagen & Eholzer & Honecker & Huebel,  New N=1 Extended Superconformal Algebras with Two and Three Generators
1992, B293,  Phys.Lett., Evans & Hollowood,  Integrable N=2 Supersymmetric Field Theories
1992, D46,  Phys.Rev., Politzer,  Simple Quantum Systems in Spacetimes with Closed Timelike Curves
1993, B406,  Nucl. Phys., Nojiri & Oda,  Semi-classical Approach to Charged Dilatonic Black Hole in Two  Dimensions
1994, A9,  Int. J. Mod. Phys., Kanno & Sarmadi,  BRST cohomology ring in 2D gravity coupled to minimal models
1992, D46,  Phys.Rev., Griffin,  The sine-Gordon model and the small k^+ region of light-cone  perturbation theory
1993, D47,  Phys.Rev., Griffin,  Staggered fermions and chiral symmetry breaking in transverse lattice  regulated QED
1993, A8,  Int.J.Mod.Phys., Aschieri & Castellani,  An introduction to non-commutative differential geometry on quantum  groups
1994, B414,  Nucl. Phys., Babichenko & Elitzur,  Deviations from Scale Invariance near a General Conformal Background
1992, B293,  Phys. Lett., Caselle & D'Adda & Panzeri,  Exact solution of d=1 Kazakov-Migdal induced gauge theory
1992, B292,  Phys.Lett., Fabbrichesi & Iengo,  The Gravitational Field of String Matter When the Dilaton is Massive
1992, B293,  Phys.Lett., de Wit & Proeyen,  Broken sigma-model isometries in very special geometry
1993, A8,  Mod.Phys.Lett., Allen,  Collective Coordinate Action for Charged Sigma-Model Vortices in Finite  Geometries
1992, D46,  Phys.Rev., de Alwis,  Quantum Black Holes in Two Dimensions
1993, A8,  Int.J.Mod.Phys., Alvarez-Gaume & Becker & Becker & Emparan & Manes,  Double Scaling Limit of the Supervirasoro Constraints
1993, D47,  Phys.Rev., Alfaro,  The Large-$N$ Limit of the Two-Hermitian-matrix model by the hidden BRST  method
1993, A8,  Mod. Phys. Lett., Illuminati,  Semi-Classical Quantization of the Many-Anyon System
1993, A47,  Phys.Rev., Illuminati,  Energy Spectrum of Anyons in a Magnetic Field
1993, B390,  Nucl. Phys., Bonora & Bonservizi,  Quantum sl_n Toda field theories
1992, B293,  Phys.Lett., Ellis & Mavromatos & Nanopoulos,  String Theory Modifies Quantum Mechanics
1993, B400,  Nucl.Phys., Hawking & Stewart,  Naked and Thunderbolt Singularities in Black Hole Evaporation
1993, B402,  Nucl.Phys., Govindarajan & Jayaraman & John,  Chiral Rings and Physical States in c<1 String Theory
1993, B303,  Phys. Lett., Bellini,  Planckian Vertices on High Genus Riemann Surfaces
1993, B393,  Nucl.Phys., Bellini & Ademollo & Ciafaloni,  Gravitino one-loop contribution to Planckian Scattering
1992, B6,  Int.J.Mod.Phys., Bellon & Maillard & Rollet & Viallet,  Deformations of Dynamics Associated to the Chiral Potts Model
1993, B397,  Nucl.Phys., Myers & Periwal,  Chiral gravity in two dimensions
1992, B293,  Phys. Lett., Bars,  Heterotic String Models in Curved Spacetime
1992, B297,  Phys.Lett., Senechal,  Chern-Simons superconductivity
1992, B297,  Phys.Lett., Cangemi,  One Formulation for both Lineal Gravities through a Dimensional  Reduction
1993, A8,  Int. J. Mod. Phys., Caselle & Fiore & Gliozzi & Vinti,  The Effective String of 3D Z_2 Gauge Theory as a c=1 compactified CFT
1993, B393,  Nucl.Phys., Ambjorn & A & Irback & Jurkiewicz & Petersson,  The Theory of Dynamical Random Surfaces with Extrinsic Curvature
1993, A8,  Mod.Phys.Lett., Migdal,  1/N Expansion and Particle Spectrum in Induced QCD
1993, B315,  Phys.Lett., La,  Dilatonic Domain Walls
1993, B302,  Phys.Lett., Zhitnitsky,  Quark confinement , topological susceptibility and all that in 4  dimensional gluodynamics
1992, B294,  Phys.Lett., Aitchison & Dorey & Klein-Kreisler & Mavromatos,  Phase Structure of QED3 at Finite Temperature
1993, B389,  Nucl. Phys., Hata & Niigata,  Color Confinement, Abelian Gauge and Renormalization Group Flow
1992, B293,  Phys.Lett., Ellis & Mavromatos & Nanopoulos,  Testing Quantum Mechanics in the Neutral Kaon System
1993, B301,  Phys. Lett., Bars & Sfetsos,  $SL(2,R)xSU(2)/R^2$ string model in curved spacetime and exact conformal  results
1992, B293,  Phys.Lett., Gross,  Some Remarks About Induced QCD
1994, B411,  Nucl. Phys., Gaite,  Lagrangians for the W-Algebra Models
1993, A8,  Int.J.Mod.Phys., Majid,  Quantum Random Walks and Time Reversal
1993, A8,  Int.J.Mod.Phys., Evans & Tuckey,  A Geometrical Approach to Time-Dependent Gauge-Fixing
1993, B394,  Nucl. Phys., Martins,  Exact resonance A-D-E S-matrices and their renormalization group  trajectories
1993, B395,  Nucl.Phys., Kogan & Morozov & Semenoff & Weiss,  Area Law and Continuum Limit in "Induced QCD"
1992, D46,  Phys.Rev., Kantowski & Marzban,  One-loop Vilkovisky-DeWitt Counterterms for 2D Gravity plus Scalar Field  Theory
1992, B384,  Nucl. Phys., Imbimbo,  SL(2,R) Chern-Simons Theories with Rational Charges and Two-dimensional  Conformal Field Theories
1993, A26,  J.Phys., Gitman & Shelepin,  Coherent States of the SU(N) groups
1992, L153,  Class.Quant.Grav., Deser & Steif,  Gravity Theories with Lightlike Sources in D=3
1992, B297,  Phys.Lett., Khokhlachev & Makeenko,  The Problem of Large-N Phase Transition in Kazakov-Migdal Model of  Induced QCD
1993, B403,  Nucl.Phys., Faraggi,  Aspects of Nonrenormalizable Terms in a Superstring Derived  Standard--like Model
1992, B387,  Nucl.Phys., Faraggi,  Construction of Realistic Standard--like Models in the Free Fermionic  Superstring Formulation
1993, A8,  Mod.Phys.Lett., Kaloper,  A Closed Bianchi I Universe in String Theory
1993, B394,  Nucl.Phys., Alvarez-Gaume & Barbon & Crnkovic,  A Proposal for Strings at D>1
1992, D46,  Phys.Rev., Witten,  On Background Independent Open-String Field Theory
1993, B392,  Nucl. Phys., Anselmi & Fre,  Twisted N=2 Supergravity as Topological Gravity in Four Dimensions
1993, B398,  Nucl. Phys., Ambjorn & Durhuus & Jonsson & Thorleifsson,  Matter fields with c > 1 coupled to 2d gravity
1993, B394,  Nucl.Phys., Dijkgraaf & Moore & Plesser,  The partition function of 2d string theory
1993, B393,  Nucl.Phys., Ambjorn & Jurkiewicz & Kristjansen,  Quantum Gravity, Dynamical Triangulation and Higer Derivative  Regularization
1993, B395,  Nucl. Phys., Berkovits,  Calculation of Green-Schwarz Superstring Amplitudes Using the N=2  Twistor-String Formalism
1993, D47,  Phys.Rev., Ross & Mann,  Gravitationally Collapsing Dust in $(2+1)$ Dimensions
1992, B293,  Phys.Lett., Aschieri & Castellani,  Bicovariant differential geometry of the quantum group GL_q(3)
1994, A9,  Int.J.Mod.Phys., Erler & Spalinski,  Modular Groups for Twisted Narain Models
1993, B305,  Phys. Lett., Smith,  Trivial Spectrum of Free 1+1 Light-Cone Strings
1993, B399,  Nucl.Phys., Aharony & Ganor & Sonnenschein & Yankielowicz,  On the twisted G/H topological models
1993, A8,  Int.J.Mod.Phys., Savvidy & Savvidy,  String fine tuning
1993, B404,  Nucl. Phys., Kharchev & Marshakov & Mironov & Morozov & Pakuliak,  Conformal Matrix Models as an Alternative to Conventional Multi-Matrix  Models
1993, A8,  Mod.Phys.Lett., Makeenko,  Large-N Reduction, Master Field and Loop Equations in Kazakov-Migdal  Model
1993, A8,  Mod.Phys.Lett., Kharchev & Marshakov & Mironov & Morozov,  Landau-Ginzburg Topological Theories in the Framework of GKM and  Equivalent Hierarchies
1993, B395,  Nucl.Phys., Lucchesi & Piguet & Sorella,  Renormalization and finiteness of topological BF theories
1992, B292,  Phys. Lett., Toppan & Zhang,  Superconformal Affine Liouville Theory
1993, A8,  Mod.Phys.Lett., Gitman & Saa,  Pseudoclassical Model of Spinning Particle with Anomalous Magnetic  Momentum
1992, A7,  Mod.Phys.Lett., Meurice,  Remarks Concerning Polyakov's Conjecture for the 3D Ising Model and the  Hierarchical Approximation
1993, B302,  Phys.Lett., Tanii,  Semiclassical Quantization of Two-Dimensional Dilaton Gravity
1993, B389,  Nucl.Phys., Bastianelli & Nieuwenhuizen,  Trace Anomalies from Quantum Mechanics
1994, D3,  Int.J.Mod.Phys., Chakrabarti & Joshi,  Naked Singularities as Possible Candidates for Gamma-ray Bursters
1992, B294,  Phys. Lett., Freund & Zabrodin,  Excitation Scattering in Integrable Models and Hall-Littlewood-Kerov  Polynomials
1993, D48,  Phys.Rev., Govindarajan & Jayaraman & John,  Genus Zero Correlation Functions in c<1 String Theory
1993, A8,  Int. J. Mod. Phys., Roy & Panda,  The Lax Operator Approach for the Virasoro and the W-Constraints in the  Generalized KdV Hierarchy
1993, A8,  Int. J. Mod. Phys., Idzumi & Iohara & Jimbo & Miwa & Nakashima & Tokihiro,  Quantum affine symmetry in vertex models
1993, A8,  Int.J.Mod.Phys., Jimbo & Miwa & Ohta,  Structure of the space of states in RSOS models
1993, B405,  Nucl. Phys., Blumenhagen,  N=2 supersymmetric W-algebras
1993, D47,  Phys.Rev., Harms & Leblanc,  Statistical Mechanics of Extended Black Objects
1992, A7,  Mod.Phys.Lett., Khokhlachev & Makeenko,  Adjoint Fermions Induce QCD
1993, B392,  Nucl.Phys., de Wit & Tollsten & Nicolai,  Locally supersymmetric D=3 non-linear sigma models
1992, B294,  Phys.Lett., Giveon & Pasquinucci,  On Cosmological String Backgrounds with Toroidal Isometries
1993, A8,  Mod. Phys. Lett., Matsumura & Sakai & Tanii & Uchino,  Correlation Functions in Two-Dimensional Dilaton Gravity
1992, A7,  Mod.Phys.Lett., Nappi & Pasquinucci,  Thermodynamics of Two-Dimensional Black-Holes
1993, D48,  Phys.Rev., Brandenberger & Prokopec & Mukhanov,  The Entropy of the Gravitational Field
1993, A8,  Mod.Phys.Lett., Migdal,  Phase Transitions in Induced QCD
1993, A8,  Mod.Phys.Lett., Migdal,  Mixed Model of Induced QCD
1993, D47,  Phys.Rev., Garriga & Vilenkin,  Black Holes from Nucleating Strings
1992, B296,  Phys. Lett., March-Russell,  On the Possibility of Second-Order Phase Transitions in Spontaneously  Broken Gauge Theories
1992, B297,  Phys.Lett., Figueroa-O'Farrill & Ramos & Stanciu,  A geometrical interpretation of classical W-transformations
1992, D46,  Phys.Rev., Chen & Semenoff & Wu,  Two-Loop Analysis of Non-abelian Chern-Simons Theory
1992, B294,  Phys.Lett., Aratyn & Nissimov & Pacheva & Vaysburd,  R-Matrix Formulation of KP Hierarchies and their Gauge Equivalence
1993, D47,  Phys.Rev., Lowe,  Semiclassical Approach to Black Hole Evaporation
1993, A8,  Mod.Phys.Lett., Abada & bougourzi & Gradechi,  Deformation of the Wakimoto construction
1994, A9,  Int. J. Mod. Phys., Aldazabal & Bonini & Maldacena,  Factorization and Discrete States in C=1 Superliouville Theory
1993, B404,  Nucl. Phys., Wu & Zhu,  The Complete Structure of the Cohomology Ring and Associated Symmetries  in $D=2$ String Theory
1993, D47,  Phys.Rev., Russo & Susskind & Thorlacius,  Cosmic Censorship in Two-Dimensional Gravity
1993, B303,  Phys.Lett., Sen,  Quantization of Dyon Charge and Electric-Magnetic Duality in String  Theory
1993, B409,  Nucl. Phys., Papadopoulos,  The geometry of supersymmetric coset models and superconformal algebras
1992, B295,  Phys.Lett., Antoniadis & Benakli,  Fractionally Charged Particles and Supersymmetry Breaking in 4D Strings
1992, B297,  Phys.Lett., Bytsenko & Elizalde & Zerbini,  Laurent Series Representation for the Open Superstring Free Energy
1993, B390,  Nucl.Phys., Tseytlin,  String vacuum backgrounds with covariantly constant null Killing vector  and 2d quantum gravity
1993, B300,  Phys.Lett., Hollowood,  Quantum Soliton Mass Corrections in SL(N) Affine Toda Theory
1992, A7,  Mod.Phys.Lett., Das & Rama,  Renormalization of Couplings in Embedded Random Surfaces
1993, D47,  Phys.Rev., Bazeia,  Gauge Invariance in Chern-Simons Systems
1992, A7,  Mod. Phys. Lett., Bedaque & Horvath & Rajeev,  Two dimensional baryons in the large N limit
1993, A8,  Mod.Phys.Lett., Eholzer & Honecker & Huebel,  Representations of $N=1$ Extended Superconformal Algebras with Two  Generators
1992, B296,  Phys.Lett., Bachas & Porrati,  Pair Creation of Open Strings in an Electric Field
1993, B395,  Nucl. Phys., Kalau,  BRST Quantization of 2d-Yang Mills Theory with Anomalies
1993, B397,  Nucl. Phys., Avan & Jevicki,  Interacting Theory of Collective and Topological Fields in 2 Dimensions
1992, B296,  Phys.Lett., Bergshoeff & Sevrin & Shen,  A Derivation of the BRST Operator for Non-Critical W-Strings
1993, D48,  Phys.Rev., Moreno,  Functional determinant and Green functions for a fermionic gauge theory  on the disk
1992, A170,  Phys.Lett., Rogers & Spector,  Quantum Mechanics with Explicit Time Dependence
1993, A8,  Int. J. Mod. Phys., Bonora & Xiong,  Matrix models without scaling limit
1993, B402,  Nucl. Phys., Gannon,  Partition Functions for Heterotic WZW Conformal Field Theories
1993, B396,  Nucl. Phys., Gannon,  WZW Commutants, Lattices, and Level 1 Partition Functions
1993, B309,  Phys.Lett., Brustein & Ovrut,  Stringy Instantons
1993, N2,  Theor.Math.Phys., de Vega & Mikhailov & Sanchez,  Exact String Solutions in 2+1-Dimensional De Sitter Spacetime
1993, D47,  Phys.Rev., Dalley & Klebanov,  String Spectrum of 1+1-Dimensional Large N QCD with Adjoint Matter
1992, B296,  Phys.Lett., Gasperini & Maharana & Veneziano,  Boosting Away Singularities from Conformal String Backgrounds
1992, A25,  J.Phys., Kulish & Sklyanin,  Algebraic Structures Related to Reflection Equations
1993, B404,  Nucl. Phys., Jevicki & Rodrigues & Tonder,  Scattering States and Symmetries in the Matrix Model and Two Dimensional  String Theory
1993, N2,  Theor.Math.Phys., Kulish,  Quantum Groups, $q$-Oscillators and Covariant Algebras
1993, A8,  Int.J.Mod.Phys., Mizoguchi,  Rational Conformal Field Theory and Multi-Wormhole Partition Function in  3-dimensional Gravity
1993, B397,  Nucl.Phys., Temple-Raston & Alexander,  Differential cross-sections and escape plots for low energy $SU(2)$ BPS  magnetic monopole dynamics
1993, A8,  Mod.Phys.Lett., Shen,  Quantum Dilaton Gravity in the Light-cone Gauge
1992, B292,  Phys. Lett., Bergshoeff & Boonstra & de Roo,  Realisations of $W_3$ Symmetry
1994, A9,  Mod.Phys.Lett., Broda,  Quantum theory of non-abelian differential forms and link polynomials
1993, D47,  Phys.Rev., Gregory & Harvey,  Black Holes with a Massive Dilaton
1993, B392,  Nucl.Phys., Perry & Teo,  BRS and Anti-BRS Symmetry in Topological Yang--Mills Theory
1992, A7,  Mod. Phys. Lett., Morozov,  Pair Correlator in the Itzykson-Zuber Integral
1993, B298,  Phys.Lett., Deckmyn,  On the generalized Miura transformation
1997, A12,  Int.J.Mod.Phys., Brustein & Ovrut,  Non-Perturbative Effects in 2-D String Theory or Beyond the Liouville  Wall
1993, A8,  Mod.Phys.Lett., Das & Galvao,  Self-Duality and the KdV Hierarchy
1994, A9,  Int. J. Mod. Phys., Perret,  Three dimensional field theories from infinite dimensional lie algebras
1993, B404,  Nucl.Phys., Hindmarsh & Holman & Kephart & Vachaspati,  Generalized Semilocal Theories and Higher Hopf Maps
1993, L173,  Class.Quant.Grav., Schrans,  Generalised Virasoro Constructions from Affine Inonu-Wigner Contractions
1992, B297,  Phys.Lett., Durhuus & Jonsson,  On subdivision invariant actions for random surfaces
1992, B297,  Phys.Lett., Nolasco & Reina,  Topological Observables in Semiclassical Field Theories
1993, A8,  Int. J. Mod. Phys., Mohaupt,  Critical Wilson Lines in Toroidal Compactifications of Heteroric Strings
1993, D47,  Phys.Rev., Grant,  Cosmic Strings and Chronology Protection
1993, A26,  J.Phys., Burdik & Cerny & Navratil,  The q-Boson Realizations of the Quantum Group $U_{q}(sl(n+1,C))$
1992, B297,  Phys.Lett., Bowcock & Watts,  Null vectors of the W_3 algebra
1993, D47,  Phys.Rev., Kim,  Self-dual Vortices in the Generalized Abelian Higgs Model with  Independent Chern-Simons Interaction
1993, B299,  Phys.Lett., Pope & Sezgin & Stelle & Wang,  Discrete States in the $W_3$ String
1993, A8,  Mod. Phys. Lett., Yamaguchi,  Correlation Functions of (2k-1, 2) Minimal Matter Coupled to 2D Quantum  Gravity
1993, A8,  Mod.Phys.Lett., Chikalov & Pashnev,  Twistor-Like Type II Superstring and Bosonic String
1992, D46,  Phys.Rev., Kallosh & Peet,  Dilaton Black Holes Near the Horizon
1993, A8,  Mod. Phys. Lett., Nojiri & Oda,  Dilatonic Supergravity in Two Dimensions and the Disappearance of  Quantum Black Hole
1992, B297,  Phys.Lett., Devchand & Ogievetsky,  Super Self-Duality as Analyticity in Harmonic Superspace
1993, B298,  Phys. Lett., Lukyanov & Shatashvili,  Free Field Representation for the Classical Limit of Quantum Affine  Algebra
1992, B294,  Phys.Lett., Donets & Gal'tsov,  Continuous Family of Einstein-Yang-Mills Wormholes
